,time_stamp,song_id,run_id,genre,artist,dna,dna_artist,url,meta
31,2021-06-10 03:55:42.275681,RM6uxrsEzNi3sVse_c1UqW6,RM6uxrsEzNi3sVse,electronic,justin bieber,mary_may2_prompted_zhu_house_3_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_prompted_zhu_house_3_TRIMMED_justinbieber_electronic_prompt6_dur25/level_0/item_1.wav,batch2
32,2021-06-10 03:55:42.357439,RM6uxrsEzNi3sVse_rEbXnX,RM6uxrsEzNi3sVse,electronic,justin bieber,mary_may2_prompted_zhu_house_3_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_prompted_zhu_house_3_TRIMMED_justinbieber_electronic_prompt6_dur25/level_0/item_2.wav,batch2
33,2021-06-10 03:55:42.437497,RM6uxrsEzNi3sVse_Y4FMy1,RM6uxrsEzNi3sVse,electronic,justin bieber,mary_may2_prompted_zhu_house_3_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_prompted_zhu_house_3_TRIMMED_justinbieber_electronic_prompt6_dur25/level_0/item_3.wav,batch2
34,2021-06-10 03:55:42.517376,RM6uxrsEzNi3sVse_Ijcd35,RM6uxrsEzNi3sVse,electronic,justin bieber,mary_may2_prompted_zhu_house_3_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_prompted_zhu_house_3_TRIMMED_justinbieber_electronic_prompt6_dur25/level_0/item_4.wav,batch2
35,2021-06-10 03:55:42.605518,RM6uxrsEzNi3sVse_zEXUep,RM6uxrsEzNi3sVse,electronic,justin bieber,mary_may2_prompted_zhu_house_3_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_prompted_zhu_house_3_TRIMMED_justinbieber_electronic_prompt6_dur25/level_0/item_5.wav,batch2
36,2021-06-10 03:55:42.689259,wHml1oMlJdwlASWY_xYRqpU,wHml1oMlJdwlASWY,classical,the doors,mary_may2_prompted_zhu_house_3_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_prompted_zhu_house_3_TRIMMED_thedoors_classical_prompt6_dur25/level_0/item_0.wav,batch2
37,2021-06-10 03:55:42.765545,wHml1oMlJdwlASWY_1DIKJs,wHml1oMlJdwlASWY,classical,the doors,mary_may2_prompted_zhu_house_3_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_prompted_zhu_house_3_TRIMMED_thedoors_classical_prompt6_dur25/level_0/item_1.wav,batch2
38,2021-06-10 03:55:42.852938,wHml1oMlJdwlASWY_L2oZVU,wHml1oMlJdwlASWY,classical,the doors,mary_may2_prompted_zhu_house_3_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_prompted_zhu_house_3_TRIMMED_thedoors_classical_prompt6_dur25/level_0/item_2.wav,batch2
39,2021-06-10 03:55:42.933702,wHml1oMlJdwlASWY_eg1qkS,wHml1oMlJdwlASWY,classical,the doors,mary_may2_prompted_zhu_house_3_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_prompted_zhu_house_3_TRIMMED_thedoors_classical_prompt6_dur25/level_0/item_3.wav,batch2
40,2021-06-10 03:55:43.013591,wHml1oMlJdwlASWY_1KGnyB,wHml1oMlJdwlASWY,classical,the doors,mary_may2_prompted_zhu_house_3_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_prompted_zhu_house_3_TRIMMED_thedoors_classical_prompt6_dur25/level_0/item_4.wav,batch2
